Platform,Subcategory,PreviousState,Phase1candidates,Phase2candidates,Phase3candidates,PreClinicalCandidates,RepurposedCandidates
Artificial antigen presenting cells,Artificial antigen presenting cells,Pre-clinical,1,,,,
Dendritic cells,Dendritic cell,Pre-clinical,1,,,,
DNA,Electroporation,Clinical,1,,,,
DNA,Other DNA,Clinical,2,2,,5,
DNA,Unknown,Clinical,,,1,,
Inactivated,Inactivated,Licensed,,,,3,
Live attenuated bacteria,Live attenuated bacteria,Repurposed,,,,3,1
Live attenuated virus,Live attenuated,Licensed,,1,,23,
Protein subunit,Other protein subunit,Licensed,,,,4,
Protein subunit,Recombinant protein,Licensed,,,,16,
Protein subunit,S protein,Licensed,,1,,3,
RNA,LNP-encapsulated mRNA,Clinical,,1,,9,
RNA,mRNA,Clinical,,,,2,
RNA,Other RNA,Clinical,,,,1,
RNA,sARNA,Clinical,,2,,15,
Self-assembling vaccine,Self-assembling vaccine,Pre-clinical,,,,1,
Unknown,Unknown,Pre-clinical,,1,,6,
Viral vector,Adenovirus (non-replicating),Licensed,,,,1,
Viral vector,Horsepox (replicating),Licensed,,,,2,
Viral vector,Influenza (replicating),Licensed,,,,2,
Viral vector,Measles (replicating),Licensed,,,,3,
Viral vector,MVA (non-replicating),Licensed,,,,1,
Viral vector,Other NRVV,Licensed,,3,,3,
Viral vector,Replicating Viral Vector,Licensed,,,,2,
Viral vector,VSV (replicating),Licensed,,,,7,
VLP,VLP,Licensed,,,,,
